,l2 error,nb components,L1 relative error
PLB-LHG,2.0024,4.0000,10.9502
PLB-LHV,2.2833,4.0000,16.0558
PLB-LM1,1.8177,4.0000,15.2454
PLB-LM2,1.0229,5.0000,7.8085
PLB-VN1,1.8201,3.0000,10.0451
PLB-VN2,1.6073,5.0000,6.9002
PLC-BV,1.1687,6.0000,6.7707
PLC-FO,1.2750,6.0000,8.2832
PLC-FR,2.6007,7.0000,17.4751
PLC-LP,0.9183,6.0000,5.7220
PLD-KG,1.3146,5.0000,5.4115
PLE-LF,1.6658,5.0000,8.5307
PLF-CH,1.2538,4.0000,6.4388
PLF-MD,0.9358,5.0000,5.2693
PLG-LB,1.3251,5.0000,8.3667
PLG-LC,0.7693,5.0000,4.1963
PLG-LM,0.8808,5.0000,5.3640
PLG-QC,0.7808,5.0000,4.2412
PLG-QL1,0.7781,5.0000,4.6348
PLG-QL2,1.1300,5.0000,5.5491
PLH-KD1,2.7161,4.0000,14.6939
PLH-KD2,2.7132,4.0000,16.2459
PLH-TL,1.6959,6.0000,8.5776
PLI-CQ,1.1141,7.0000,6.8332
PLI-VC,1.5812,5.0000,7.3453
PLI-VH,0.9330,5.0000,4.7568
PLJ-JN,0.6139,5.0000,4.3255
PLJ-PB,1.5811,7.0000,8.1847
PLL-BG,1.0474,7.0000,7.2148
PLL-SQ,0.9043,6.0000,5.0163
PLM-LC,0.8080,5.0000,6.1100
PLM-LN,1.3044,4.0000,6.4810
PLM-LV1,0.8517,5.0000,6.7881
PLM-LV2,0.6159,5.0000,4.5525
PLN-LG,3.9296,4.0000,18.0417
PLN-LR,2.4119,4.0000,11.7836
PLN-LT,0.8686,5.0000,4.7719
PLN-LV,0.9679,7.0000,6.1455
PLN-PS,3.5970,2.0000,19.3931
PLO-LD,1.5609,7.0000,10.3140
PLP-BG,1.0855,6.0000,5.7703
PLR-LP,0.8974,5.0000,5.4796
PLS-LG,1.3854,5.0000,6.9494
PLS-LO,2.2190,4.0000,14.1787
PLS-LT1,1.0104,5.0000,5.4361
PLS-LT2,1.4829,5.0000,6.8058
PLS-PV,0.7671,5.0000,4.5317
PLT-BJ1,1.1520,7.0000,7.5676
PLT-BJ2,1.2289,6.0000,8.3182
PLT-BJ3,2.8405,5.0000,18.3227
PLT-TL1,1.0069,5.0000,5.5736
PLT-TL2,1.1375,7.0000,7.6044
PLT-VM1,0.9894,5.0000,6.2903
PLT-VM2,0.9196,5.0000,5.9600
PLT-VM3,0.9840,5.0000,5.8487
PLT-VM4,1.0643,7.0000,7.6402
PLU-LN,1.1610,7.0000,8.3813
PLU-VC,1.1856,6.0000,6.8144
PLX-BB,0.9462,5.0000,4.0743
PLX-NV,1.0606,5.0000,4.7078
PLY-BR,1.9602,5.0000,13.9071
PLY-KM,1.9793,6.0000,16.1583
PLY-PB1,1.1177,6.0000,8.3151
PLY-PB2,2.3545,6.0000,16.6938
PLY-QC1,1.4272,5.0000,10.2997
PLY-QC2,1.1069,5.0000,8.4954
PLY-SM,0.9808,5.0000,6.0767
PLZ-SQ,2.2034,5.0000,12.3456
PMG-MD,1.4900,5.0000,7.3285
PMQ-KN,1.0614,6.0000,6.4589
PMR-KD,1.3100,5.0000,6.0183
PMR-KG,2.1536,5.0000,13.5623
PMR-KL,2.0399,5.0000,12.7902
PMR-KM,1.4571,4.0000,8.6385
PMR-KV,2.5057,5.0000,14.4066
PMT-SA,1.3728,5.0000,8.7480
PNF-LC,3.0412,4.0000,13.0699
PNF-LM,3.1649,3.0000,14.8602
PNF-SP,2.8786,4.0000,16.5480
PNF-VA,2.2757,4.0000,9.0736
PNF-VM,0.9333,5.0000,6.4665
PNT-MO,1.0722,6.0000,5.7525
PRD-FA,1.0888,5.0000,5.4001
PSS-DS,1.4869,4.0000,9.4055
PSS-TE,1.1900,5.0000,7.6217
PSS-VB,3.7110,3.0000,17.3370
PTP-BE1,1.5153,6.0000,11.2575
PTP-BE2,1.2437,7.0000,8.3725
PTT-LB,1.0502,6.0000,6.3066
QBR-LG,1.1088,7.0000,7.6273
QBR-LG1,1.9213,6.0000,14.6102
QBR-LG2,1.0775,6.0000,7.0996
QBR-LH,0.9441,5.0000,5.3014
QBR-LP,1.2145,6.0000,7.7154
QBR-PV,1.0405,7.0000,5.6975
QBR-VH,1.0528,6.0000,6.4644
QDL-LF,0.8190,6.0000,4.9785
QDL-LH,0.8085,5.0000,5.1154
QDL-VF,0.8978,5.0000,5.9109
QDL-VG,0.8053,5.0000,5.4529
QLC-LR,1.5622,5.0000,9.0285
QPG-KG,1.4451,5.0000,8.3043
QPG-LG1,1.1432,5.0000,6.3122
QPG-LG2,1.3002,5.0000,7.1471
QRN-BV,1.0538,5.0000,4.6824
QSY-LP,1.1117,5.0000,7.4839
QTN-LR,0.9859,5.0000,6.2102
RAN-BN,1.1318,5.0000,7.3095
RAN-CP,0.8075,5.0000,5.1033
RAN-GG,1.8221,4.0000,11.4189
REN-CL,1.5283,3.0000,9.2271
